itemid,datasetid,fold,hasbird
16988.wav,ff1010bird,1,0
16989.wav,ff1010bird,1,0
16990.wav,ff1010bird,1,0
16991.wav,ff1010bird,1,0
16992.wav,ff1010bird,1,0
16993.wav,ff1010bird,1,0
16994.wav,ff1010bird,1,1
16995.wav,ff1010bird,1,0
17001.wav,ff1010bird,1,0
17002.wav,ff1010bird,1,1
17003.wav,ff1010bird,1,0
17004.wav,ff1010bird,1,0
17005.wav,ff1010bird,1,0
17006.wav,ff1010bird,1,0
17007.wav,ff1010bird,1,1
17008.wav,ff1010bird,1,0
17054.wav,ff1010bird,1,0
17055.wav,ff1010bird,1,0
17056.wav,ff1010bird,1,0
17057.wav,ff1010bird,1,0
17058.wav,ff1010bird,1,0
17059.wav,ff1010bird,1,0
17074.wav,ff1010bird,1,0
17075.wav,ff1010bird,1,0
17076.wav,ff1010bird,1,0
17077.wav,ff1010bird,1,0
17078.wav,ff1010bird,1,0
17079.wav,ff1010bird,1,0
17080.wav,ff1010bird,1,0
17081.wav,ff1010bird,1,0
17082.wav,ff1010bird,1,0
17083.wav,ff1010bird,1,0
17090.wav,ff1010bird,1,0
17091.wav,ff1010bird,1,0
17092.wav,ff1010bird,1,0
17100.wav,ff1010bird,1,0
17134.wav,ff1010bird,1,0
17135.wav,ff1010bird,1,0
17136.wav,ff1010bird,1,0
17138.wav,ff1010bird,1,0
17139.wav,ff1010bird,1,0
17140.wav,ff1010bird,1,0
17142.wav,ff1010bird,1,0
17143.wav,ff1010bird,1,0
17144.wav,ff1010bird,1,0
17146.wav,ff1010bird,1,0
17147.wav,ff1010bird,1,0
17153.wav,ff1010bird,1,0
17154.wav,ff1010bird,1,0
17155.wav,ff1010bird,1,1
17156.wav,ff1010bird,1,0
17185.wav,ff1010bird,1,1
17347.wav,ff1010bird,1,1
17348.wav,ff1010bird,1,1
17349.wav,ff1010bird,1,1
17350.wav,ff1010bird,1,1
17351.wav,ff1010bird,1,1
17352.wav,ff1010bird,1,1
17353.wav,ff1010bird,1,1
17354.wav,ff1010bird,1,1
17355.wav,ff1010bird,1,1
17356.wav,ff1010bird,1,1
17472.wav,ff1010bird,1,0
17505.wav,ff1010bird,1,1
17507.wav,ff1010bird,1,1
17508.wav,ff1010bird,1,1
17509.wav,ff1010bird,1,0
17510.wav,ff1010bird,1,1
17511.wav,ff1010bird,1,0
17512.wav,ff1010bird,1,1
17515.wav,ff1010bird,1,0
17517.wav,ff1010bird,1,1
17546.wav,ff1010bird,1,0
17632.wav,ff1010bird,1,0
17851.wav,ff1010bird,1,1
17852.wav,ff1010bird,1,0
17853.wav,ff1010bird,1,0
17854.wav,ff1010bird,1,0
17855.wav,ff1010bird,1,0
17857.wav,ff1010bird,1,0
17858.wav,ff1010bird,1,0
17859.wav,ff1010bird,1,0
17860.wav,ff1010bird,1,0
17861.wav,ff1010bird,1,1
17862.wav,ff1010bird,1,1
17912.wav,ff1010bird,1,0
17913.wav,ff1010bird,1,0
17915.wav,ff1010bird,1,0
17916.wav,ff1010bird,1,0
17970.wav,ff1010bird,1,1
18038.wav,ff1010bird,1,1
18039.wav,ff1010bird,1,1
18042.wav,ff1010bird,1,0
18043.wav,ff1010bird,1,1
18045.wav,ff1010bird,1,1
18046.wav,ff1010bird,1,1
18047.wav,ff1010bird,1,1
18049.wav,ff1010bird,1,1
18050.wav,ff1010bird,1,1
18052.wav,ff1010bird,1,1
18228.wav,ff1010bird,1,1
18229.wav,ff1010bird,1,0
18230.wav,ff1010bird,1,1
18231.wav,ff1010bird,1,1
18233.wav,ff1010bird,1,1
18515.wav,ff1010bird,1,1
18525.wav,ff1010bird,1,0
18755.wav,ff1010bird,1,0
18756.wav,ff1010bird,1,0
18757.wav,ff1010bird,1,0
18765.wav,ff1010bird,1,1
18766.wav,ff1010bird,1,0
18802.wav,ff1010bird,1,0
18803.wav,ff1010bird,1,0
18804.wav,ff1010bird,1,0
18805.wav,ff1010bird,1,1
18806.wav,ff1010bird,1,0
18807.wav,ff1010bird,1,0
18834.wav,ff1010bird,1,0
18894.wav,ff1010bird,1,0
18905.wav,ff1010bird,1,0
18928.wav,ff1010bird,1,1
18929.wav,ff1010bird,1,1
18930.wav,ff1010bird,1,1
19029.wav,ff1010bird,1,1
19030.wav,ff1010bird,1,0
19033.wav,ff1010bird,1,0
19037.wav,ff1010bird,1,1
19257.wav,ff1010bird,1,1
19258.wav,ff1010bird,1,1
19264.wav,ff1010bird,1,1
19271.wav,ff1010bird,1,0
19375.wav,ff1010bird,1,1
19376.wav,ff1010bird,1,0
19422.wav,ff1010bird,1,1
19423.wav,ff1010bird,1,1
19424.wav,ff1010bird,1,0
19492.wav,ff1010bird,1,1
19493.wav,ff1010bird,1,0
19782.wav,ff1010bird,1,0
19797.wav,ff1010bird,1,0
19912.wav,ff1010bird,1,0
19913.wav,ff1010bird,1,0
19938.wav,ff1010bird,1,0
19992.wav,ff1010bird,1,0
19999.wav,ff1010bird,1,1
20000.wav,ff1010bird,1,0
20001.wav,ff1010bird,1,0
20008.wav,ff1010bird,1,0
20011.wav,ff1010bird,1,1
20016.wav,ff1010bird,1,0
20017.wav,ff1010bird,1,0
20018.wav,ff1010bird,1,0
20019.wav,ff1010bird,1,0
20020.wav,ff1010bird,1,1
20021.wav,ff1010bird,1,1
20022.wav,ff1010bird,1,1
20048.wav,ff1010bird,1,0
20049.wav,ff1010bird,1,0
20067.wav,ff1010bird,1,0
20190.wav,ff1010bird,1,1
20191.wav,ff1010bird,1,0
20192.wav,ff1010bird,1,0
20193.wav,ff1010bird,1,1
20194.wav,ff1010bird,1,1
20204.wav,ff1010bird,1,1
20205.wav,ff1010bird,1,1
20206.wav,ff1010bird,1,0
20207.wav,ff1010bird,1,1
20290.wav,ff1010bird,1,0
20291.wav,ff1010bird,1,1
20292.wav,ff1010bird,1,0
20381.wav,ff1010bird,1,0
20384.wav,ff1010bird,1,0
20530.wav,ff1010bird,1,0
20580.wav,ff1010bird,1,0
20692.wav,ff1010bird,1,0
20693.wav,ff1010bird,1,0
20694.wav,ff1010bird,1,0
20695.wav,ff1010bird,1,0
20696.wav,ff1010bird,1,0
20697.wav,ff1010bird,1,0
20698.wav,ff1010bird,1,0
20714.wav,ff1010bird,1,0
20782.wav,ff1010bird,1,0
20784.wav,ff1010bird,1,0
20785.wav,ff1010bird,1,0
20786.wav,ff1010bird,1,0
20787.wav,ff1010bird,1,0
20788.wav,ff1010bird,1,0
20838.wav,ff1010bird,1,0
20988.wav,ff1010bird,1,1
20989.wav,ff1010bird,1,1
21091.wav,ff1010bird,1,1
21106.wav,ff1010bird,1,1
21107.wav,ff1010bird,1,1
21156.wav,ff1010bird,1,0
21245.wav,ff1010bird,1,1
21321.wav,ff1010bird,1,0
21322.wav,ff1010bird,1,0
21421.wav,ff1010bird,1,0
21432.wav,ff1010bird,1,0
21435.wav,ff1010bird,1,0
21601.wav,ff1010bird,1,1
21683.wav,ff1010bird,1,0
21684.wav,ff1010bird,1,0
21704.wav,ff1010bird,1,0
21771.wav,ff1010bird,1,1
21842.wav,ff1010bird,1,1
21888.wav,ff1010bird,1,0
21889.wav,ff1010bird,1,0
21890.wav,ff1010bird,1,0
21891.wav,ff1010bird,1,0
21892.wav,ff1010bird,1,0
21893.wav,ff1010bird,1,0
21894.wav,ff1010bird,1,0
22109.wav,ff1010bird,1,0
22132.wav,ff1010bird,1,0
22133.wav,ff1010bird,1,1
22160.wav,ff1010bird,1,0
22325.wav,ff1010bird,1,1
22326.wav,ff1010bird,1,1
22327.wav,ff1010bird,1,1
22350.wav,ff1010bird,1,0
22383.wav,ff1010bird,1,1
22384.wav,ff1010bird,1,1
22387.wav,ff1010bird,1,0
22412.wav,ff1010bird,1,0
22423.wav,ff1010bird,1,0
22424.wav,ff1010bird,1,1
22437.wav,ff1010bird,1,0
22515.wav,ff1010bird,1,0
22516.wav,ff1010bird,1,0
22517.wav,ff1010bird,1,1
22518.wav,ff1010bird,1,0
22519.wav,ff1010bird,1,0
22521.wav,ff1010bird,1,0
22522.wav,ff1010bird,1,0
22523.wav,ff1010bird,1,0
22721.wav,ff1010bird,1,0
22862.wav,ff1010bird,1,0
22863.wav,ff1010bird,1,0
22950.wav,ff1010bird,1,0
22951.wav,ff1010bird,1,0
22953.wav,ff1010bird,1,0
23015.wav,ff1010bird,1,0
23017.wav,ff1010bird,1,0
23019.wav,ff1010bird,1,0
23024.wav,ff1010bird,1,0
23025.wav,ff1010bird,1,0
23026.wav,ff1010bird,1,0
23040.wav,ff1010bird,1,0
23062.wav,ff1010bird,1,0
23063.wav,ff1010bird,1,0
23064.wav,ff1010bird,1,0
23087.wav,ff1010bird,1,0
23131.wav,ff1010bird,1,1
23192.wav,ff1010bird,1,0
23256.wav,ff1010bird,1,0
23257.wav,ff1010bird,1,0
23258.wav,ff1010bird,1,0
23293.wav,ff1010bird,1,0
23294.wav,ff1010bird,1,0
23295.wav,ff1010bird,1,0
23415.wav,ff1010bird,1,0
23417.wav,ff1010bird,1,0
23454.wav,ff1010bird,1,0
23528.wav,ff1010bird,1,0
23537.wav,ff1010bird,1,1
23538.wav,ff1010bird,1,0
23554.wav,ff1010bird,1,0
23574.wav,ff1010bird,1,0
23605.wav,ff1010bird,1,0
23750.wav,ff1010bird,1,0
23771.wav,ff1010bird,1,1
23779.wav,ff1010bird,1,0
24003.wav,ff1010bird,1,0
24023.wav,ff1010bird,1,0
24025.wav,ff1010bird,1,0
24054.wav,ff1010bird,1,0
24716.wav,ff1010bird,1,0
24718.wav,ff1010bird,1,0
24728.wav,ff1010bird,1,0
24796.wav,ff1010bird,1,0
24797.wav,ff1010bird,1,1
24943.wav,ff1010bird,1,0
24944.wav,ff1010bird,1,0
24945.wav,ff1010bird,1,0
24947.wav,ff1010bird,1,0
24948.wav,ff1010bird,1,0
24949.wav,ff1010bird,1,1
24950.wav,ff1010bird,1,0
24952.wav,ff1010bird,1,0
24966.wav,ff1010bird,1,0
24967.wav,ff1010bird,1,1
24968.wav,ff1010bird,1,0
25021.wav,ff1010bird,1,0
25060.wav,ff1010bird,1,0
25067.wav,ff1010bird,1,0
25068.wav,ff1010bird,1,0
25209.wav,ff1010bird,1,0
25377.wav,ff1010bird,1,0
25378.wav,ff1010bird,1,0
25379.wav,ff1010bird,1,0
25380.wav,ff1010bird,1,0
25381.wav,ff1010bird,1,0
25382.wav,ff1010bird,1,0
25383.wav,ff1010bird,1,0
25384.wav,ff1010bird,1,0
25385.wav,ff1010bird,1,1
25386.wav,ff1010bird,1,0
25522.wav,ff1010bird,1,0
25523.wav,ff1010bird,1,1
25524.wav,ff1010bird,1,0
25525.wav,ff1010bird,1,0
25526.wav,ff1010bird,1,0
25527.wav,ff1010bird,1,1
25579.wav,ff1010bird,1,0
25580.wav,ff1010bird,1,0
25588.wav,ff1010bird,1,0
25590.wav,ff1010bird,1,0
25823.wav,ff1010bird,1,0
25824.wav,ff1010bird,1,0
25901.wav,ff1010bird,1,0
25903.wav,ff1010bird,1,0
25907.wav,ff1010bird,1,0
25908.wav,ff1010bird,1,0
25945.wav,ff1010bird,1,1
25946.wav,ff1010bird,1,1
26071.wav,ff1010bird,1,0
26267.wav,ff1010bird,1,0
26268.wav,ff1010bird,1,0
26269.wav,ff1010bird,1,0
26270.wav,ff1010bird,1,0
26272.wav,ff1010bird,1,0
26400.wav,ff1010bird,1,0
26904.wav,ff1010bird,1,0
26905.wav,ff1010bird,1,0
26906.wav,ff1010bird,1,0
26907.wav,ff1010bird,1,0
26909.wav,ff1010bird,1,0
26910.wav,ff1010bird,1,0
26911.wav,ff1010bird,1,0
26912.wav,ff1010bird,1,1
26913.wav,ff1010bird,1,0
26959.wav,ff1010bird,1,1
26969.wav,ff1010bird,1,0
26975.wav,ff1010bird,1,1
27073.wav,ff1010bird,1,0
27154.wav,ff1010bird,1,0
27232.wav,ff1010bird,1,0
27580.wav,ff1010bird,1,0
27931.wav,ff1010bird,1,1
28164.wav,ff1010bird,1,0
28165.wav,ff1010bird,1,0
28166.wav,ff1010bird,1,0
28167.wav,ff1010bird,1,0
28204.wav,ff1010bird,1,0
28221.wav,ff1010bird,1,1
28250.wav,ff1010bird,1,0
28251.wav,ff1010bird,1,0
28252.wav,ff1010bird,1,0
28253.wav,ff1010bird,1,0
28285.wav,ff1010bird,1,1
28286.wav,ff1010bird,1,0
28287.wav,ff1010bird,1,1
28288.wav,ff1010bird,1,1
28314.wav,ff1010bird,1,0
28376.wav,ff1010bird,1,0
28464.wav,ff1010bird,1,0
28500.wav,ff1010bird,1,0
28641.wav,ff1010bird,1,0
28775.wav,ff1010bird,1,0
28776.wav,ff1010bird,1,1
28807.wav,ff1010bird,1,0
28808.wav,ff1010bird,1,0
28809.wav,ff1010bird,1,0
29512.wav,ff1010bird,1,0
29522.wav,ff1010bird,1,0
29525.wav,ff1010bird,1,0
29606.wav,ff1010bird,1,0
29636.wav,ff1010bird,1,0
29639.wav,ff1010bird,1,0
29645.wav,ff1010bird,1,0
29647.wav,ff1010bird,1,0
29650.wav,ff1010bird,1,0
29867.wav,ff1010bird,1,0
29872.wav,ff1010bird,1,1
29932.wav,ff1010bird,1,0
29982.wav,ff1010bird,1,0
30033.wav,ff1010bird,1,0
30034.wav,ff1010bird,1,0
30168.wav,ff1010bird,1,0
30207.wav,ff1010bird,1,0
30307.wav,ff1010bird,1,0
30322.wav,ff1010bird,1,0
30324.wav,ff1010bird,1,0
30337.wav,ff1010bird,1,1
30338.wav,ff1010bird,1,1
30353.wav,ff1010bird,1,0
30371.wav,ff1010bird,1,0
30372.wav,ff1010bird,1,0
30373.wav,ff1010bird,1,0
30414.wav,ff1010bird,1,0
30444.wav,ff1010bird,1,0
30469.wav,ff1010bird,1,0
30475.wav,ff1010bird,1,0
30476.wav,ff1010bird,1,1
30547.wav,ff1010bird,1,0
30679.wav,ff1010bird,1,0
30787.wav,ff1010bird,1,0
30788.wav,ff1010bird,1,0
30789.wav,ff1010bird,1,0
30837.wav,ff1010bird,1,0
30838.wav,ff1010bird,1,0
30840.wav,ff1010bird,1,0
30950.wav,ff1010bird,1,0
31027.wav,ff1010bird,1,1
31039.wav,ff1010bird,1,0
31040.wav,ff1010bird,1,0
31154.wav,ff1010bird,1,0
31155.wav,ff1010bird,1,0
31156.wav,ff1010bird,1,0
31169.wav,ff1010bird,1,0
31225.wav,ff1010bird,1,0
31244.wav,ff1010bird,1,1
31250.wav,ff1010bird,1,1
31251.wav,ff1010bird,1,1
31252.wav,ff1010bird,1,1
31253.wav,ff1010bird,1,1
31256.wav,ff1010bird,1,0
31266.wav,ff1010bird,1,0
31274.wav,ff1010bird,1,0
31454.wav,ff1010bird,1,0
31455.wav,ff1010bird,1,0
31456.wav,ff1010bird,1,0
31487.wav,ff1010bird,1,0
31526.wav,ff1010bird,1,0
31541.wav,ff1010bird,1,0
31581.wav,ff1010bird,1,1
31640.wav,ff1010bird,1,0
31677.wav,ff1010bird,1,1
31747.wav,ff1010bird,1,1
31796.wav,ff1010bird,1,1
31798.wav,ff1010bird,1,0
31816.wav,ff1010bird,1,1
31821.wav,ff1010bird,1,0
31823.wav,ff1010bird,1,0
31828.wav,ff1010bird,1,1
31835.wav,ff1010bird,1,1
31884.wav,ff1010bird,1,0
31909.wav,ff1010bird,1,1
31972.wav,ff1010bird,1,0
31973.wav,ff1010bird,1,0
31990.wav,ff1010bird,1,0
32046.wav,ff1010bird,1,1
32165.wav,ff1010bird,1,0
32171.wav,ff1010bird,1,0
32175.wav,ff1010bird,1,1
32245.wav,ff1010bird,1,0
32255.wav,ff1010bird,1,0
32261.wav,ff1010bird,1,1
32262.wav,ff1010bird,1,1
32295.wav,ff1010bird,1,1
32310.wav,ff1010bird,1,0
32311.wav,ff1010bird,1,1
32330.wav,ff1010bird,1,1
32331.wav,ff1010bird,1,1
32394.wav,ff1010bird,1,0
32401.wav,ff1010bird,1,0
32405.wav,ff1010bird,1,0
32406.wav,ff1010bird,1,1
32407.wav,ff1010bird,1,1
32423.wav,ff1010bird,1,0
32479.wav,ff1010bird,1,1
32480.wav,ff1010bird,1,1
32489.wav,ff1010bird,1,0
32490.wav,ff1010bird,1,0
32491.wav,ff1010bird,1,0
32492.wav,ff1010bird,1,0
32493.wav,ff1010bird,1,0
32494.wav,ff1010bird,1,0
32495.wav,ff1010bird,1,0
32496.wav,ff1010bird,1,0
32497.wav,ff1010bird,1,0
32498.wav,ff1010bird,1,0
32499.wav,ff1010bird,1,0
32500.wav,ff1010bird,1,1
32511.wav,ff1010bird,1,0
32536.wav,ff1010bird,1,1
32537.wav,ff1010bird,1,1
32548.wav,ff1010bird,1,1
32550.wav,ff1010bird,1,1
32551.wav,ff1010bird,1,1
32571.wav,ff1010bird,1,0
32587.wav,ff1010bird,1,1
32588.wav,ff1010bird,1,1
32592.wav,ff1010bird,1,1
32745.wav,ff1010bird,1,1
32746.wav,ff1010bird,1,1
32797.wav,ff1010bird,1,0
32834.wav,ff1010bird,1,0
32840.wav,ff1010bird,1,0
32852.wav,ff1010bird,1,0
32855.wav,ff1010bird,1,1
32859.wav,ff1010bird,1,0
33195.wav,ff1010bird,1,1
33196.wav,ff1010bird,1,1
33256.wav,ff1010bird,1,1
33257.wav,ff1010bird,1,1
33314.wav,ff1010bird,1,0
33390.wav,ff1010bird,1,0
33391.wav,ff1010bird,1,0
33394.wav,ff1010bird,1,1
33395.wav,ff1010bird,1,1
33444.wav,ff1010bird,1,0
33446.wav,ff1010bird,1,1
33447.wav,ff1010bird,1,0
33448.wav,ff1010bird,1,0
33449.wav,ff1010bird,1,1
33481.wav,ff1010bird,1,1
33542.wav,ff1010bird,1,1
33639.wav,ff1010bird,1,1
33640.wav,ff1010bird,1,0
33641.wav,ff1010bird,1,0
33695.wav,ff1010bird,1,0
33721.wav,ff1010bird,1,0
33722.wav,ff1010bird,1,1
33772.wav,ff1010bird,1,0
33794.wav,ff1010bird,1,0
33827.wav,ff1010bird,1,1
33872.wav,ff1010bird,1,1
33936.wav,ff1010bird,1,0
33938.wav,ff1010bird,1,1
34094.wav,ff1010bird,1,0
34111.wav,ff1010bird,1,1
34112.wav,ff1010bird,1,1
34126.wav,ff1010bird,1,0
34127.wav,ff1010bird,1,0
34128.wav,ff1010bird,1,0
34129.wav,ff1010bird,1,0
34157.wav,ff1010bird,1,0
34165.wav,ff1010bird,1,1
34174.wav,ff1010bird,1,0
34178.wav,ff1010bird,1,0
34180.wav,ff1010bird,1,1
34193.wav,ff1010bird,1,0
34195.wav,ff1010bird,1,1
34196.wav,ff1010bird,1,1
34197.wav,ff1010bird,1,1
34218.wav,ff1010bird,1,0
34266.wav,ff1010bird,1,0
34267.wav,ff1010bird,1,0
34268.wav,ff1010bird,1,0
34269.wav,ff1010bird,1,0
34328.wav,ff1010bird,1,0
34329.wav,ff1010bird,1,0
